sub_region_2,metro_label
,1
Accomack County,0
Albemarle County,1
Alexandria,1
Alleghany County,0
Amelia County,1
Amherst County,1
Appomattox County,1
Arlington County,1
Augusta County,1
Bath County,0
Bedford County,1
Bland County,0
Botetourt County,1
Bristol,1
Brunswick County,0
Buchanan County,0
Buckingham County,1
Buena Vista,1
Campbell County,1
Caroline County,1
Carroll County,0
Charles City County,1
Charlotte County,0
Charlottesville,1
Chesapeake,1
Chesterfield County,1
Clarke County,1
Colonial Heights,1
Covington,1
Craig County,0
Culpeper County,1
Cumberland County,1
Danville,1
Dickenson County,0
Dinwiddie County,1
Emporia,1
Essex County,0
Fairfax,1
Fairfax County,1
Falls Church,1
Fauquier County,1
Floyd County,1
Fluvanna County,1
Franklin,1
Franklin County,1
Frederick County,1
Fredericksburg,1
Galax,1
Giles County,1
Gloucester County,1
Goochland County,1
Grayson County,0
Greene County,1
Greensville County,0
Halifax County,0
Hampton,1
Hanover County,1
Harrisonburg,1
Henrico County,1
Henry County,0
Hopewell,1
Isle of Wight County,1
James City County,1
King and Queen County,1
King George County,1
King William County,1
Lancaster County,1
Lee County,0
Lexington,1
Loudoun County,1
Louisa County,0
Lunenburg County,0
Lynchburg,1
Madison County,0
Manassas,1
Manassas Park,1
Martinsville,1
Mathews County,1
Mecklenburg County,0
Middlesex County,0
Montgomery County,0
Nelson County,0
New Kent County,1
Newport News,1
Norfolk,1
Northampton County,0
Northumberland County,0
Norton,1
Nottoway County,1
Orange County,1
Page County,1
Patrick County,0
Petersburg,1
Pittsylvania County,0
Poquoson,1
Portsmouth,1
Powhatan County,1
Prince Edward County,0
Prince George County,1
Prince William County,1
Pulaski County,0
Radford,1
Rappahannock County,1
Richmond,1
Richmond County,0
Roanoke,1
Roanoke County,1
Rockbridge County,0
Rockingham County,0
Russell County,0
Salem,1
Scott County,1
Shenandoah County,0
Smyth County,0
Southampton County,0
Spotsylvania County,1
Stafford County,1
Staunton,1
Suffolk,1
Surry County,1
Sussex County,1
Tazewell County,0
Virginia Beach,1
Warren County,1
Washington County,1
Waynesboro,1
Westmoreland County,1
Williamsburg,1
Winchester,1
Wise County,0
Wythe County,0
York County,1
Barbour County,1
Berkeley County,1
Boone County,1
Braxton County,1
Brooke County,1
Cabell County,1
Fayette County,1
Grant County,1
Greenbrier County,1
Hampshire County,1
Hancock County,1
Hardy County,1
Harrison County,1
Jackson County,1
Jefferson County,1
Kanawha County,1
Lewis County,1
Lincoln County,1
Logan County,1
Marion County,1
Marshall County,1
Mason County,1
McDowell County,1
Mercer County,1
Mineral County,1
Mingo County,1
Monongalia County,1
Monroe County,1
Morgan County,1
Nicholas County,1
Ohio County,1
Pleasants County,1
Pocahontas County,1
Preston County,1
Putnam County,1
Raleigh County,1
Randolph County,1
Ritchie County,1
Roane County,1
Summers County,1
Taylor County,1
Tucker County,1
Tyler County,1
Upshur County,1
Wayne County,1
Webster County,1
Wetzel County,1
Wirt County,1
Wood County,1
Wyoming County,1
